,product_id,item_price,total_amount,payment_status,price_label
81,3103,190922,194900,Success,middle price
82,38408,477543,962611,Success,high price
83,54055,173084,169584,Success,low price
84,5844,151003,196771,Success,low price
85,30736,44423,44423,Success,low price
86,6195,156739,156739,Success,low price
87,2834,160338,153060,Success,low price
88,42331,152931,156160,Success,low price
89,8974,328444,432627,Success,middle price
90,31190,79183,432627,Success,low price
91,25927,351861,356723,Success,high price
92,32509,118685,5085073,Success,low price
93,14802,448320,5085073,Success,high price
94,29786,174817,5085073,Success,low price
95,37532,123996,5085073,Success,low price
96,54483,88521,5085073,Success,low price
97,27917,313189,5085073,Success,middle price
98,25078,412022,1246066,Success,high price
99,30140,45677,55677,Success,low price
100,40290,200942,332077,Success,middle price
101,5790,128962,332077,Success,low price
102,19353,140280,140280,Success,low price
103,54062,407703,417703,Success,high price
104,41475,214031,435369,Success,middle price
105,43979,265966,275966,Success,middle price
106,1853,289491,307712,Success,middle price
107,41712,441293,466293,Success,high price
108,45959,165061,954822,Success,low price
109,27807,106789,954822,Success,low price
110,18377,532108,954822,Success,high price
111,40740,140864,954822,Success,low price
112,27548,286410,276454,Success,middle price
113,4803,211488,6291071,Success,middle price
114,26046,387865,6291071,Success,high price
115,15107,255303,6291071,Success,middle price
116,20519,204051,6291071,Success,middle price
117,42181,534752,6291071,Success,high price
118,58160,96593,6291071,Success,low price
119,26658,194882,6291071,Success,middle price
120,12694,78082,83730,Success,low price
121,57215,373644,3314083,Success,high price
122,21694,159061,3314083,Success,low price
123,20758,160995,165995,Success,low price
124,30496,254059,264059,Success,middle price
125,59718,151582,161582,Success,low price
126,8104,321382,642764,Success,middle price
127,58133,255767,519974,Success,middle price
128,59022,169179,337728,Success,low price
129,44640,157154,161458,Failed,low price
130,5959,335880,336809,Success,high price
131,45238,260483,260483,Success,middle price
132,30319,227577,232538,Success,middle price
133,13691,368648,368648,Success,high price
134,16495,500985,510985,Success,high price
135,43308,359324,359324,Success,high price
136,14903,194756,3145245,Success,middle price
137,29607,199282,3145245,Success,middle price
138,3168,250264,3145245,Success,middle price
139,51361,297229,3145245,Success,middle price
140,41379,384458,389768,Success,high price
141,4754,237966,252966,Success,middle price
143,46862,246806,1911787,Success,middle price
144,6500,221772,1911787,Success,middle price
145,29071,374131,1911787,Success,high price
146,21099,309214,1911787,Success,middle price
147,28195,144358,1169864,Success,low price
148,33270,199953,206425,Success,middle price
149,16432,619959,615901,Success,high price
150,33547,93903,187806,Success,low price
151,37428,246294,1231470,Success,middle price
152,59258,269071,279071,Success,middle price
153,24394,333180,672537,Success,middle price
154,16885,280951,290951,Success,middle price
155,15053,343040,343040,Success,high price
156,45894,318841,328841,Success,middle price
157,36331,389328,397168,Success,high price
158,46269,65590,65590,Success,low price
159,23229,226110,457220,Success,middle price
160,43365,458228,458228,Success,high price
161,4220,216670,224081,Success,middle price
162,22900,362026,362026,Success,high price
164,13932,138518,148518,Success,low price
165,7449,155859,165859,Success,low price
166,24372,198370,198370,Success,middle price
167,28561,202963,202963,Success,middle price
168,10533,263879,1219631,Success,middle price
169,34046,214966,1219631,Success,middle price
170,44881,336981,1219631,Success,high price
171,48348,202744,1219631,Success,middle price
172,46381,176338,172082,Success,low price
173,30926,285863,2587689,Success,middle price
174,44117,299268,2587689,Success,middle price
175,18161,189038,2587689,Success,middle price
176,7486,301401,2587689,Success,middle price
177,10074,158055,2587689,Success,low price
178,39299,206104,2587689,Success,middle price
179,4939,192643,2587689,Success,middle price
180,12485,176452,2587689,Success,low price
181,14488,251582,2587689,Success,middle price
182,56974,178649,2587689,Success,low price
183,7115,176591,2587689,Success,low price
184,28420,176423,2587689,Success,low price
185,50186,150837,2647859,Success,low price
186,7210,194999,2647859,Success,middle price
187,39722,680461,2647859,Success,high price
188,40951,297626,2647859,Success,middle price
189,18583,87896,2647859,Success,low price
190,45211,413681,2647859,Success,high price
191,31949,258681,2647859,Success,middle price
192,27493,328555,2647859,Success,middle price
193,6705,235123,2647859,Success,middle price
194,8357,304895,314895,Success,middle price
195,18813,215554,225554,Success,middle price
196,31985,183247,194697,Success,middle price
197,49670,122938,132938,Success,low price
198,31879,58253,57130,Success,low price
199,50219,360783,3847359,Success,high price
200,49773,468203,3847359,Success,high price
201,13270,461153,3847359,Success,high price
202,17590,180018,3847359,Success,low price
203,34653,432811,3847359,Success,high price
204,6511,118121,3847359,Success,low price
205,33965,407746,412314,Success,high price
206,49104,353089,359955,Success,high price
207,31189,306944,304874,Success,middle price
208,34650,191740,1150440,Success,middle price
209,16219,304589,314589,Success,middle price
210,30734,216315,1235542,Success,middle price
211,59523,202400,1235542,Success,middle price
212,24955,215404,225396,Success,middle price
213,13340,182411,177233,Success,middle price
214,47582,283878,1593804,Success,middle price
215,4506,170552,1593804,Success,low price
216,20843,160248,1593804,Success,low price
217,45124,136444,1593804,Success,low price
218,28258,566056,571112,Success,high price
219,58093,171094,181094,Success,low price
220,7612,528220,2127880,Success,high price
221,28742,192001,690325,Failed,middle price
222,10338,180664,690325,Failed,low price
223,11587,138901,690325,Failed,low price
224,41227,178759,690325,Failed,low price
225,35058,144506,140953,Success,low price
226,11552,143172,785519,Success,low price
227,17259,347589,785519,Success,high price
228,24612,284758,785519,Success,middle price
229,52942,196354,193586,Success,middle price
230,34465,272475,266693,Success,middle price
231,31371,357268,367268,Success,high price
232,23146,149589,295239,Success,low price
233,36527,732431,742431,Success,high price
234,46972,232509,251720,Success,middle price
235,31639,345965,355965,Success,high price
236,5800,415710,420710,Success,high price
237,5676,228866,3939898,Success,middle price
238,42930,444659,3939898,Success,high price
239,19364,153760,3939898,Success,low price
240,46126,267247,277247,Success,middle price
241,56112,339964,1353486,Success,high price
242,10108,96778,98685,Success,low price
243,27355,398213,405101,Success,high price
244,4944,78244,156488,Success,low price
245,43314,429611,429611,Success,high price
246,9877,129722,264372,Success,low price
247,25591,314747,319747,Success,middle price
248,47342,299086,299086,Success,middle price
249,3339,197428,207428,Success,middle price
250,11228,233907,246180,Success,middle price
251,12212,151730,161730,Success,low price
252,7175,160478,163139,Success,low price
253,6579,319909,334909,Success,middle price
254,28588,388564,396739,Success,high price
255,48198,406717,625859,Success,high price
256,33873,212757,625859,Success,middle price
257,6709,402083,399250,Success,high price
258,37103,317945,311454,Success,middle price
259,42539,364650,369658,Failed,high price
260,17713,517671,1795411,Success,high price
261,11446,163322,1795411,Success,low price
262,10404,249782,1795411,Success,middle price
263,34247,204117,1795411,Success,middle price
264,56919,191498,1795411,Success,middle price
265,47584,444021,1795411,Success,high price
266,12464,260488,270488,Success,middle price
267,6628,226941,907764,Success,middle price
268,22247,190677,195172,Success,middle price
269,55556,272573,358457,Success,middle price
270,28247,88175,358457,Success,low price
271,45232,174156,184156,Success,low price
272,32552,188409,188409,Success,middle price
273,9921,250894,516788,Success,middle price
274,29123,93525,3130000,Success,low price
275,50828,151111,3130000,Success,low price
276,24594,344226,3130000,Success,high price
277,3809,481539,3130000,Success,high price
278,27999,75530,3130000,Success,low price
279,30190,188290,3130000,Success,middle price
280,19655,182526,3130000,Success,middle price
281,18345,322834,3130000,Success,middle price
282,11694,162701,3130000,Success,low price
283,40067,130241,3130000,Success,low price
284,28152,267428,3130000,Success,middle price
285,37789,507519,666924,Success,high price
286,10162,148850,666924,Success,low price
287,34755,402652,406049,Success,high price
288,3712,117880,245760,Success,low price
289,55208,271898,703510,Success,middle price
290,21918,144395,703510,Success,low price
291,41755,145519,703510,Success,low price
292,1728,193104,193491,Success,middle price
293,28630,303199,677962,Success,middle price
294,28153,163809,677962,Success,low price
295,38357,271215,813645,Success,middle price
296,49674,232130,474260,Success,middle price
297,2820,265205,265205,Success,middle price
298,31846,187754,197754,Success,middle price
299,47176,196144,200206,Success,middle price
300,53864,192648,196984,Success,middle price
301,38175,558113,1116226,Success,high price
302,18734,182731,344760,Success,middle price
303,36319,162029,344760,Success,low price
304,7758,450583,460583,Success,high price
305,5702,86089,89288,Success,low price
306,35455,51072,51072,Success,low price
307,24525,218495,228495,Success,middle price
308,46075,161470,171470,Failed,low price
309,21326,258798,713528,Success,middle price
310,39627,324994,713528,Success,middle price
311,43465,132421,713528,Success,low price
312,56855,109083,119083,Success,low price
313,56188,181840,231840,Success,middle price
314,21907,114067,119067,Success,low price
315,48793,286613,296613,Success,middle price
316,23216,325702,335702,Success,middle price
317,23285,260633,260633,Success,middle price
318,43666,441539,446539,Success,high price
319,55029,207696,255456,Success,middle price
320,39277,204301,209733,Success,middle price
321,32598,432795,442795,Success,high price
322,52684,153007,153007,Success,low price
323,14956,180456,190456,Success,low price
324,56872,260748,293597,Success,middle price
325,44716,218819,228819,Success,middle price
326,26816,148174,148174,Success,low price
327,32947,328356,378356,Success,middle price
328,52337,314869,1238541,Success,middle price
329,13831,283934,1238541,Success,middle price
330,54901,101415,111415,Success,low price
331,41453,248721,751163,Success,middle price
332,39067,238791,248791,Success,middle price
333,39549,128085,128085,Success,low price
334,55266,200608,2677545,Success,middle price
335,57774,154411,2677545,Success,low price
336,39701,215927,2677545,Success,middle price
337,11640,263761,2677545,Success,middle price
338,14331,270795,2677545,Success,middle price
339,7503,236137,236137,Success,middle price
340,56610,196774,2984444,Success,middle price
341,15946,194728,2984444,Success,middle price
342,9361,339203,2984444,Success,high price
343,28558,333692,2984444,Success,middle price
344,3870,373112,2984444,Success,high price
345,4407,273510,2984444,Success,middle price
346,50624,421822,2984444,Success,high price
347,45356,248819,2984444,Success,middle price
348,53124,148196,2984444,Success,low price
349,48409,154257,143212,Success,low price
350,8253,113845,2526130,Success,low price
351,54009,403575,2526130,Success,high price
352,2979,265828,2526130,Success,middle price
353,1544,323092,2526130,Success,middle price
354,14688,281958,2526130,Success,middle price
355,58634,246810,747128,Success,middle price
356,45352,112073,127073,Success,low price
357,7406,126048,132971,Success,low price
358,11859,145713,142514,Success,low price
359,7602,189627,199627,Success,middle price
360,4943,142651,140095,Success,low price
361,8984,280002,286220,Success,middle price
362,38314,106927,238854,Success,low price
363,3751,199734,209734,Success,middle price
364,30574,432809,442809,Success,high price
365,27381,423385,423385,Success,high price
366,34626,341386,348274,Success,high price
367,24466,359896,362079,Success,high price
368,48319,500331,506719,Success,high price
369,50859,165692,175692,Success,low price
370,42684,557654,578614,Success,high price
371,20542,304438,301388,Success,middle price
372,20431,360622,710758,Success,high price
373,42893,99628,212460,Success,low price
374,12639,102832,212460,Success,low price
375,59638,544524,554524,Success,high price
376,52110,286185,296185,Success,middle price
377,52637,121225,121225,Success,low price
378,54649,178735,188735,Success,low price
379,16517,95486,286458,Success,low price
380,39141,230229,930916,Success,middle price
381,20186,218872,3347908,Success,middle price
382,25721,264766,3347908,Success,middle price
383,59089,221530,3347908,Success,middle price
384,56135,590442,1781326,Success,high price
385,23247,205503,197556,Success,middle price
386,45023,226672,459293,Success,middle price
387,52896,472769,472769,Success,high price
388,7237,325361,335361,Success,middle price
389,47626,353188,1318517,Success,high price
390,59740,178339,1318517,Success,low price
391,4796,207192,1318517,Success,middle price
392,3914,233041,1318517,Success,middle price
393,36922,259253,269253,Success,middle price
394,37610,366953,366953,Success,high price
395,44882,287474,584288,Success,middle price
396,21885,151154,150259,Success,low price
397,45589,251947,261947,Success,middle price
398,1897,489977,494977,Success,high price
399,34922,167810,165706,Success,low price
400,17596,204234,214234,Success,middle price
401,36272,223961,223961,Success,middle price
402,49737,372778,372778,Success,high price
403,38170,320195,1285780,Success,middle price
404,59951,182273,186389,Success,middle price
405,28898,269748,276963,Success,middle price
406,55282,146934,293868,Success,low price
407,58170,188462,188462,Success,middle price
408,39377,219829,226347,Success,middle price
409,46313,512121,522121,Success,high price
410,18811,71749,81749,Success,low price
411,18463,229732,237125,Success,middle price
412,21965,181827,196827,Success,middle price
413,34993,167597,167597,Success,low price
414,17619,157905,167905,Success,low price
415,46726,325704,335704,Success,middle price
416,43515,395930,394571,Success,high price
417,47045,542259,1214111,Success,high price
418,47525,202601,1214111,Success,middle price
419,27630,261885,1214111,Success,middle price
420,48244,197366,1214111,Success,middle price
421,6342,238468,242604,Success,middle price
422,52383,337391,352391,Success,high price
423,19732,230768,426191,Success,middle price
424,53079,194665,426191,Success,middle price
425,15095,295990,305990,Success,middle price
426,14663,255526,350525,Success,middle price
427,42592,84999,350525,Success,low price
428,22559,185333,366934,Success,middle price
429,49114,282662,297662,Success,middle price
430,30234,40441,461073,Success,low price
431,48251,140836,461073,Success,low price
432,9125,109659,461073,Success,low price
433,47425,148315,461073,Success,low price
434,8154,445147,455147,Success,high price
435,9822,320562,324981,Success,middle price
436,14351,97008,97008,Success,low price
437,17268,257394,267394,Success,middle price
438,28116,277738,2781057,Success,middle price
439,5349,385298,1170894,Success,high price
440,33992,469373,519373,Success,high price
441,56909,166389,165445,Success,low price
442,58279,320381,312462,Success,middle price
443,30064,65568,75568,Success,low price
444,38781,232153,234344,Success,middle price
445,34251,320551,330551,Success,middle price
446,48329,251321,251321,Success,middle price
447,44148,388974,388829,Success,high price
448,34449,134898,134898,Success,low price
449,39513,331496,341496,Success,middle price
450,13690,191779,383558,Success,middle price
451,31721,175620,190620,Success,low price
452,8273,163595,173595,Success,low price
453,7316,62514,178328,Success,low price
455,18594,308294,2829209,Success,middle price
456,46744,100372,2829209,Success,low price
457,1885,345407,2829209,Success,high price
458,34874,260737,2829209,Success,middle price
459,7227,90856,2829209,Success,low price
460,42699,333178,2829209,Success,middle price
461,29273,148674,2829209,Success,low price
462,11059,207174,2829209,Success,middle price
463,20031,165504,2829209,Success,low price
464,30310,223308,2829209,Success,middle price
465,15362,296556,2829209,Success,middle price
466,52905,339149,2829209,Success,high price
467,19793,269518,284518,Success,middle price
468,32202,321144,652288,Success,middle price
469,18604,153497,377830,Success,low price
470,22490,224333,377830,Success,middle price
471,56236,183642,181786,Success,middle price
472,3684,362914,362914,Success,high price
473,4018,346562,347995,Success,high price
474,43327,115681,121252,Success,low price
475,7044,148532,121252,Success,low price
476,56981,497968,121252,Success,high price
477,21713,99426,99426,Success,low price
478,19022,365422,99426,Success,high price
479,42106,214170,214170,Success,middle price
480,52398,91858,91858,Success,low price
481,47651,299927,91858,Success,middle price
482,10635,285174,91858,Success,middle price
483,7441,449328,449328,Success,high price
484,7806,265669,449328,Success,middle price
485,39873,377718,449328,Success,high price
486,44549,276975,4608291,Success,middle price
487,29050,239963,4608291,Success,middle price
489,57340,205950,4608291,Success,middle price
490,26009,224704,4608291,Success,middle price
491,46251,290164,4608291,Success,middle price
492,18471,106595,4608291,Success,low price
493,18313,330578,4608291,Success,middle price
494,16218,363264,4608291,Success,high price
495,1786,373769,4608291,Success,high price
496,54736,525226,4608291,Success,high price
497,11880,191498,4608291,Success,middle price
498,19367,318545,4608291,Success,middle price
499,36461,433367,4608291,Success,high price
500,26554,305904,4608291,Success,middle price
501,26637,237461,3765837,Success,middle price
502,6673,523433,3765837,Success,high price
503,19779,151223,3765837,Success,low price
504,33485,33756,3765837,Success,low price
505,5467,188320,3765837,Success,middle price
506,12980,98599,3765837,Success,low price
507,22217,337541,3765837,Success,high price
508,30570,210062,3765837,Success,middle price
509,52308,110970,3765837,Success,low price
510,29970,167940,3765837,Success,low price
511,13053,188549,3765837,Success,middle price
512,49470,135590,3765837,Success,low price
513,2897,284266,3765837,Success,middle price
514,38137,90218,3765837,Success,low price
515,18543,198289,198289,Success,middle price
516,17659,151330,198289,Success,low price
517,4760,278080,288080,Success,middle price
518,23799,325242,288080,Success,middle price
519,55647,597826,288080,Success,high price
520,47366,203931,288080,Success,middle price
521,40431,436587,288080,Success,high price
522,8222,315971,288080,Success,middle price
523,5696,272657,288080,Success,middle price
524,26639,302448,288080,Success,middle price
525,43643,362299,288080,Success,high price
526,8961,181242,288080,Success,middle price
527,33850,314517,288080,Success,middle price
528,14491,328075,288080,Success,middle price
529,39628,296784,288080,Success,middle price
530,18433,333543,288080,Success,middle price
531,52160,282628,292628,Success,middle price
532,51375,330375,292628,Success,middle price
533,42886,542304,292628,Success,high price
534,4772,144087,442261,Success,low price
535,24820,160335,442261,Success,low price
536,55032,90258,105258,Success,low price
537,36022,587763,591847,Success,high price
538,25880,175484,591847,Success,low price
539,57518,238841,591847,Success,middle price
540,16543,250809,262412,Success,middle price
541,34754,250570,262412,Success,middle price
542,12493,133063,262412,Success,low price
543,34540,371254,381254,Success,high price
544,23723,155661,157879,Success,low price
545,33516,157248,157879,Success,low price
546,29754,72843,82843,Success,low price
547,5038,313954,82843,Success,middle price
548,4168,176008,82843,Success,low price
549,4032,474363,479363,Success,high price
550,7840,199920,479363,Success,middle price
551,48139,189542,234553,Success,middle price
552,32277,239619,234553,Success,middle price
553,30189,180385,234553,Success,low price
554,54655,252779,262779,Success,middle price
555,7608,306663,314233,Success,middle price
556,31685,188748,314233,Success,middle price
557,4644,339634,314233,Success,high price
558,19140,322569,332569,Success,middle price
559,32327,222148,633803,Success,middle price
560,46360,174507,633803,Success,low price
561,45345,141753,151753,Success,low price
562,27038,161362,151753,Success,low price
563,17666,369900,151753,Success,high price
564,59390,186687,151753,Success,middle price
565,2965,470167,151753,Success,high price
566,58187,138846,151753,Success,low price
567,33120,348035,151753,Success,high price
568,27687,312139,151753,Success,middle price
569,32937,526206,2425245,Success,high price
570,49639,197622,2425245,Success,middle price
571,34562,394711,2425245,Success,high price
572,59569,133311,2425245,Success,low price
573,43189,166403,2425245,Success,low price
574,3931,136285,2425245,Success,low price
575,9909,344501,2425245,Success,high price
576,55998,253959,260540,Success,middle price
577,56632,160487,166049,Success,low price
578,47121,243782,1265807,Success,middle price
579,30069,181038,1265807,Success,middle price
580,12928,120650,1265807,Success,low price
581,21853,224135,234135,Success,middle price
582,24671,520210,1563524,Success,high price
583,25611,261155,271155,Success,middle price
584,13088,72529,77971,Success,low price
585,17097,189738,387090,Success,middle price
586,43501,100915,211830,Failed,low price
587,16394,442039,446241,Success,high price
588,5896,201897,211897,Success,middle price
589,23545,367413,377413,Success,high price
590,15676,84550,94550,Success,low price
591,58028,256367,238245,Success,middle price
592,19621,149733,306236,Success,low price
593,8318,184420,190030,Success,middle price
594,45782,207403,211759,Success,middle price
595,17919,109122,119122,Success,low price
596,20358,318225,343225,Failed,middle price
597,39783,240061,247625,Success,middle price
598,16367,164329,174329,Success,low price
599,47360,201754,945971,Success,middle price
600,54090,134585,945971,Success,low price
601,15573,161728,186728,Success,low price
602,15491,273009,283009,Success,middle price
603,49637,172099,197099,Success,low price
604,46098,311090,311090,Success,middle price
605,57579,174791,524373,Success,low price
606,47911,199722,206418,Success,middle price
607,16191,186030,545739,Success,middle price
608,39130,364981,545739,Success,high price
609,37233,269520,279520,Success,middle price
610,35469,166665,754651,Success,low price
611,1932,204244,754651,Success,middle price
612,59529,225416,754651,Success,middle price
613,12885,148326,754651,Success,low price
614,41238,255125,265125,Success,middle price
615,41637,185600,188918,Success,middle price
616,52536,136143,282286,Success,low price
617,19038,383485,388919,Success,high price
618,5946,471359,471359,Success,high price
619,37564,268945,266657,Success,middle price
620,49519,153232,163232,Success,low price
621,20131,157439,167439,Success,low price
622,26469,152903,158925,Success,low price
623,50868,377068,383192,Success,high price
624,26912,219355,1974195,Failed,middle price
625,6639,237675,237675,Success,middle price
626,48361,345989,345989,Success,high price
627,27330,160937,170937,Success,low price
628,49398,210547,210547,Success,middle price
629,23272,317081,327081,Success,middle price
630,41403,113809,109713,Success,low price
631,5547,449906,1360586,Success,high price
632,5116,182382,186514,Success,middle price
633,34923,288926,287926,Success,middle price
634,11764,277116,1119761,Success,middle price
635,36782,312878,1119761,Success,middle price
636,45399,210079,1119761,Success,middle price
637,10641,164802,169434,Success,low price
638,45108,254013,607397,Success,middle price
639,9688,198151,607397,Success,middle price
640,38126,145233,607397,Success,low price
641,50518,179399,189399,Success,low price
642,1857,377565,386893,Success,high price
643,6406,252028,262028,Success,middle price
644,45418,648778,1151159,Success,high price
645,31924,68483,1151159,Success,low price
646,23540,140617,1151159,Success,low price
647,6551,283281,1151159,Success,middle price
648,15515,209514,219514,Success,middle price
649,46412,201271,9110705,Success,middle price
650,12739,293568,9110705,Success,middle price
651,18261,310805,9110705,Success,middle price
652,22805,260329,9110705,Success,middle price
653,50203,564331,9110705,Success,high price
654,20239,187771,9110705,Success,middle price
655,5167,130602,1382759,Success,low price
656,16942,255454,1382759,Success,middle price
657,30339,133387,1382759,Success,low price
658,30765,448155,1382759,Success,high price
659,59555,349188,359188,Success,high price
660,28269,370387,3330174,Success,high price
661,37625,328074,332927,Success,middle price
662,34785,216523,223205,Success,middle price
663,23288,489615,856356,Success,high price
664,42231,361158,856356,Success,high price
665,13060,307191,317191,Success,middle price
666,33489,288818,293249,Success,middle price
667,48347,395690,2165877,Success,high price
668,49302,247110,2165877,Success,middle price
669,34038,160807,2165877,Success,low price
670,27429,298389,2165877,Success,middle price
671,38548,558844,2165877,Success,high price
672,3300,103448,2165877,Success,low price
673,10826,377535,2463852,Success,high price
674,58877,436363,2463852,Success,high price
675,2122,321059,2463852,Success,middle price
676,54638,201281,211281,Success,middle price
677,54114,458853,922706,Failed,high price
678,32356,254168,257005,Success,middle price
679,22484,310875,313082,Success,middle price
680,4570,380627,390627,Success,high price
681,33603,202499,610096,Success,middle price
682,57288,202593,212593,Success,middle price
683,25837,223379,4258682,Success,middle price
684,13360,373313,4258682,Success,high price
685,32450,316451,4258682,Success,middle price
686,5086,160485,4258682,Success,low price
687,34342,304220,4258682,Success,middle price
688,34510,289179,4258682,Success,middle price
689,40754,175536,4258682,Success,low price
690,16061,319532,4258682,Success,middle price
691,41747,556079,4258682,Success,high price
692,26543,377359,4258682,Success,high price
693,56311,152035,162035,Success,low price
694,36701,291794,291794,Success,middle price
695,18625,319052,578697,Success,middle price
696,43080,259645,578697,Success,middle price
697,25975,171917,1883592,Success,low price
698,9665,193907,336076,Success,middle price
699,45499,142161,336076,Success,low price
700,47592,199237,201654,Success,middle price
701,18713,290715,1167860,Success,middle price
702,55970,333224,343224,Success,middle price
703,13486,106801,116801,Success,low price
704,3023,193134,203134,Success,middle price
705,20533,164620,174620,Success,low price
706,30672,191042,201042,Success,middle price
707,23671,402061,413968,Success,high price
708,6159,584902,584902,Success,high price
709,10215,203404,5611735,Success,middle price
710,7696,420280,5611735,Success,high price
711,21641,164559,5611735,Success,low price
712,42509,164771,5611735,Success,low price
713,36506,152229,5611735,Success,low price
714,49562,172262,5611735,Success,low price
715,17159,485365,5611735,Success,high price
716,17631,165256,5611735,Success,low price
717,1756,282891,5611735,Success,middle price
718,32121,70790,5611735,Success,low price
719,54808,155971,160699,Success,low price
720,14530,481063,965730,Success,high price
721,31577,232015,226221,Success,middle price
722,5215,294731,804646,Success,middle price
723,6557,504915,804646,Success,high price
724,13864,136478,692390,Success,low price
725,41869,288796,298796,Failed,middle price
726,28508,117013,117013,Success,low price
727,21441,206118,209298,Success,middle price
728,14884,308370,307613,Success,middle price
729,12624,203566,1017830,Success,middle price
730,44939,237655,287655,Success,middle price
731,24417,329565,331593,Success,middle price
732,22826,220001,230001,Success,middle price
733,6855,143218,279491,Success,low price
734,20932,203885,213885,Success,middle price
735,19561,328261,340837,Success,middle price
736,27754,224769,662944,Success,middle price
737,35674,428175,662944,Success,high price
738,30314,255966,1154667,Success,middle price
739,27734,124377,1154667,Success,low price
740,24795,205727,220727,Success,middle price
741,40057,265057,275057,Success,middle price
742,8909,95965,193434,Success,low price
743,36478,435236,427801,Success,high price
744,31032,180329,223755,Success,low price
745,37769,284224,290459,Success,middle price
746,31783,317662,500667,Success,middle price
747,43172,173005,500667,Success,low price
748,7291,171365,181365,Success,low price
749,37982,267934,282934,Success,middle price
750,28611,124680,113458,Success,low price
751,26107,245534,5645106,Success,middle price
752,46816,316997,5645106,Success,middle price
753,15061,156356,5645106,Success,low price
754,38420,240560,5645106,Success,middle price
755,40306,270168,5645106,Success,middle price
756,6547,239408,5645106,Success,middle price
757,18214,308337,5645106,Success,middle price
758,38290,288045,5645106,Success,middle price
759,2830,303364,5645106,Success,middle price
760,37067,335467,5645106,Success,high price
761,46866,365039,5645106,Success,high price
762,7118,269958,5645106,Success,middle price
763,30514,307640,320220,Success,middle price
764,12235,282986,948682,Success,middle price
765,52519,169575,948682,Success,low price
766,3946,305070,320070,Success,middle price
767,16928,95979,99803,Success,low price
768,11771,220415,224275,Success,middle price
769,12691,356691,2853528,Success,high price
770,38529,443288,443288,Success,high price
771,52800,140187,135161,Failed,low price
772,33994,191188,195060,Success,middle price
773,47506,69211,119211,Success,low price
774,39566,304036,309256,Success,middle price
775,54130,175811,179796,Success,low price
776,48407,267949,277949,Success,middle price
777,14097,186336,1396810,Success,middle price
778,7708,222967,1396810,Success,middle price
779,16509,247526,1396810,Success,middle price
780,7286,415361,415361,Success,high price
781,25806,358300,1084900,Success,high price
782,48482,231946,2547196,Success,middle price
783,25270,148674,155960,Success,low price
